"congress","chamber","screen_name","bioguide_id","member","account_type","handle_type"
"115","House","REPGRACEMENG","M001188","Grace Meng","office","screen_name"
"115","House","GKBUTTERFIELD","B001251","G.K. Butterfield","office","screen_name"
"115","House","FRANKPALLONE","P000034","Frank Pallone","office","screen_name"
"115","House","REPHARTZLER","H001053","Vicky Hartzler","office","screen_name"
"115","House","REPCHRISSTEWART","S001192","Chris Stewart","office","screen_name"
"115","House","REPBRIANFITZ","F000466","Brian Fitzpatrick","office","screen_name"
"115","House","PETESESSIONS","S000250","Pete Sessions","office","screen_name"
"115","House","REPSHEAPORTER","S001170","Carol Shea-Porter","office","screen_name"
"115","House","TGOWDYSC","G000566","Trey Gowdy","office","screen_name"
"115","House","TXRANDY14","W000814","Randy Weber","office","screen_name"
"115","House","REPJASONSMITH","S001195","Jason Smith","office","screen_name"
"115","House","REPELIOTENGEL","E000179","Eliot Engel","office","screen_name"
"115","House","REPPITTENGER","P000606","Robert Pittenger","office","screen_name"
"115","House","REPTIMRYAN","R000577","Tim Ryan","office","screen_name"
"115","House","REPJOHNFASO","F000464","John Faso","office","screen_name"
"115","House","REPHOLDING","H001065","George Holding","office","screen_name"
"115","House","REPLOUIEGOHMERT","G000552","Louie Gohmert","office","screen_name"
"115","House","REPJOHNDUNCANJR","D000533","Jimmy Duncan","office","screen_name"
"115","House","REPADAMS","A000370","Alma Adams","office","screen_name"
"115","House","REPKENMARCHANT","M001158","Kenny Marchant","office","screen_name"
"115","House","REPJEFFDUNCAN","D000615","Jeff Duncan","office","screen_name"
"115","House","GREGGHARPER","H001045","Gregg Harper","office","screen_name"
"115","House","REPJOHNKATKO","K000386","John Katko","office","screen_name"
"115","House","REPDONALDPAYNE","P000604","Donald Payne Jr","office","screen_name"
"115","House","MICHAELCBURGESS","B001248","Michael C. Burgess","office","screen_name"
"115","House","REPRICHHUDSON","H001067","Richard Hudson","office","screen_name"
"115","House","REPRICKLARSEN","L000560","Rick Larsen","office","screen_name"
"115","House","LOUISESLAUGHTER","S000480","Louise Slaughter","office","screen_name"
"115","House","REPLLOYDDOGGETT","D000399","Lloyd Doggett","office","screen_name"
"115","House","REPSANFORDSC","S000051","Mark Sanford","office","screen_name"
"115","House","REPRONKIND","K000188","Ron Kind","office","screen_name"
"115","House","REPNEWHOUSE","N000189","Dan Newhouse","office","screen_name"
"115","House","REPLIZCHENEY","C001109","Liz Cheney","office","screen_name"
"115","House","REPSEANDUFFY","D000614","Sean Duffy","office","screen_name"
"115","House","REPADAMSMITH","S000510","Adam Smith","office","screen_name"
"115","House","REPALEXMOONEY","M001195","Alex Mooney","office","screen_name"
"115","House","REPKEVINBRADY","B000755","Kevin Brady","office","screen_name"
"115","House","REPBILLSHUSTER","S001154","Bill Shuster","office","screen_name"
"115","House","CONGCULBERSON","C001048","John Culberson","office","screen_name"
